"id","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","parentbusinesssubmoduleid"
137,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","UPDATE_RULE_DATA_CONFIG","Update Rule Data","Update Rule Data",9
138,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","VIEW_RULE_DATA_CONFIG","View Rule Data","View Rule Data",9
139,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","CREATE_RULE_DATA_CONFIG","Create Rule Data","Create Rule Data",9
140,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","DELETE_RULE_DATA_CONFIG","Delete Rule Data","Delete Rule Data",9
141,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","DOWNLOAD_FILE","Download File","Download File",26
142,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","SEARCH_BATCH_FILE","Search Batch File","Search Batch File",27
143,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","VIEW_DETAILS","View Details","View Details",27
144,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","MODIFY_FILES","Modify Files","Modify Files",26
145,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","PREVIEW_FILE","Preview File","Preview Files",26
146,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","SEARCH_FILES","Search Files","Search Files",26
147,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","VIEW_FILE","View File","View File",26
