ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,DESCRIPTION,ENTITY,REGEXKEY,VALUE
211,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Action Name,Policy Action,Policy.action.name,"^[\w-._,/''][\w\s-._,/'']{1,255}+$"
212,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Action Description,Policy Action,Policy.action.description,".{0,4000}$"
213,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Action Expression,Policy Action,Policy.action.actionExpression,"^(?!\s*$).+$"
214,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,File rename agent destination file path,FileRenameAgent,ServiceFileRenameConfig.destinationPath,"^[\_$\w:/]{1,500}$"
215,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,File extension after rename,FileRenameAgent,ServiceFileRenameConfig.extAfterRename,"^[^<>:""/\|?*]{1,50}$"
216,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Initial delay in file rename agent,FileRenameAgent,Agent.initialDelay,"^[0-9]{1,100}$"
217,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,File extension list to rename,FileRenameAgent,ServiceFileRenameConfig.fileExtensitonList,"^[^<>:""/\|?*]{1,50}$"
218,1,2016-07-11 16:21:09.0075,1,2016-07-11 16:21:09.0075,ACTIVE,PathList Max File Count Alert,ProcessingPathList,ProcessingPathList.maxFilesCountAlert,"^[0-9-]{1,7}$"
219,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Condition Name,Policy Condition,Policy.condition.name,"^[\w-._,/''][\w\s-._,/'']{1,255}+$"
220,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Condition Description,Policy Condition,Policy.condition.description,".{0,4000}$"
221,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Condition Expression,Policy Condition,Policy.condition.conditionExpression,"^(?!\s*$).+$"
222,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Policy Rule Group Name,Policy Rule Group,Policygroup.name,"^[\w-._,/''][\w\s-._,/'']{1,255}+$"
223,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Policy Rule Group Description,Policy Rule Group,Policygroup.description,"^[\w\s-./,/']{0,4000}$"
224,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Policy Rule Name,Policy Rule,Policyrule.name,"^[\w-._,/''][\w\s-._,/'']{1,255}+$"
225,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Policy Rule Description,Policy Rule,Policyrule.description,".{0,4000}$"
226,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Policy Rule Alert Description,Policy Rule,Policyrule.alert.description,"^[\w\s-./,/']{0,4000}$"
227,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,Policy Rule Global Sequence Rule,Policy Rule,Policyrule.globalSequenceRule,"^[\w\s-./,/']{0,100}$"
228,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,DatabaseDisDriverAttr DatabaseFieldName,DatabaseDisDriverAttribute,DatabaseDistributionDriverAttribute.databaseFieldName,"^[\w.-_,|][\w\s.-_,|]{1,100}+$"
229,1,2016-07-11 16:21:09.0082,1,2016-07-11 16:21:09.0082,ACTIVE,DatabaseDisDriver TableName,DatabaseDisDriver,DatabaseDistributionDriver.tableName,"^[\w.-_,|][\w\s.-_,|]{1,100}+$"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
