ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ENTITYALIAS,ENTITYTYPE,ISDEFAULT,SERVERTYPEID
95,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,GTPPRIME_COLLECTION_SERVICE,SERVICE_TYPE,Y,3
96,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,NATFLOW_COLLECTION_SERVICE,SERVICE_TYPE,Y,3
97,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,NATFLOWBINARY_COLLECTION_SERVICE,SERVICE_TYPE,Y,3
98,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,SYSLOG_COLLECTION_SERVICE,SERVICE_TYPE,Y,3
99,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,IPLOG_PARSING_SERVICE,SERVICE_TYPE,Y,3
100,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DATA_CONSOLIDATION_SERVICE,SERVICE_TYPE,Y,3
101,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PARSING_SERVICE,SERVICE_TYPE,Y,3
102,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,PROCESSING_SERVICE,SERVICE_TYPE,Y,3
103,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DISTRIBUTION_SERVICE,SERVICE_TYPE,Y,3
104,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,CORRELATION_SERVICE,SERVICE_TYPE,Y,3
105,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FTP_COLLECTION_DRIVER,DRIVER_TYPE,Y,3
106,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,SFTP_COLLECTION_DRIVER,DRIVER_TYPE,Y,3
107,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,LOCAL_COLLECTION_DRIVER,DRIVER_TYPE,Y,3
108,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,DATABASE_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,3
109,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,DELETED,HADOOP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,3
