"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICABILITY","DATATYPE","DATATYPESEMANTICS","ELEMENTID","FIELDSTATUS","ATTRGROUP","NAME"
58,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","190","current","ipHeader","totalLengthIPv4"
59,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned64","","224","current","ipHeader","ipTotalLength"
60,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","191","current","ipHeader","payloadLengthIPv6"
61,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","7","current","transportHeader","sourceTransportPort"
62,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","11","current","transportHeader","destinationTransportPort"
63,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","180","current","transportHeader","udpSourcePort"
64,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","181","current","transportHeader","udpDestinationPort"
65,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","205","current","transportHeader","udpMessageLength"
66,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","182","current","transportHeader","tcpSourcePort"
67,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","183","current","transportHeader","tcpDestinationPort"
68,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","","184","current","transportHeader","tcpSequenceNumber"
69,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","","185","current","transportHeader","tcpAcknowledgementNumber"
70,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","186","current","transportHeader","tcpWindowSize"
71,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","238","current","transportHeader","tcpWindowScale"
72,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","187","current","transportHeader","tcpUrgentPointer"
73,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","","188","current","transportHeader","tcpHeaderLength"
74,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","32","current","transportHeader","icmpTypeCodeIPv4"
75,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","176","current","transportHeader","icmpTypeIPv4"
76,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","177","current","transportHeader","icmpCodeIPv4"
77,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","139","current","transportHeader","icmpTypeCodeIPv6"
78,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","178","current","transportHeader","icmpTypeIPv6"
79,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","179","current","transportHeader","icmpCodeIPv6"
80,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","33","current","transportHeader","igmpType"
81,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","macAddress","identifier","56","current","subIpHeader","sourceMacAddress"
82,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","macAddress","identifier","81","current","subIpHeader","postSourceMacAddress"
83,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned16","identifier","58","current","subIpHeader","vlanId"
84,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned16","identifier","59","current","subIpHeader","postVlanId"
85,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","macAddress","identifier","80","current","subIpHeader","destinationMacAddress"
86,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","macAddress","identifier","57","current","subIpHeader","postDestinationMacAddress"
87,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned8","identifier","146","current","subIpHeader","wlanChannelId"
88,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","string","","147","current","subIpHeader","wlanSSID"
89,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","","200","current","subIpHeader","mplsTopLabelTTL"
90,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","flags","203","current","subIpHeader","mplsTopLabelExp"
91,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","flags","237","current","subIpHeader","postMplsTopLabelExp"
92,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","","202","current","subIpHeader","mplsLabelStackDepth"
93,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","","201","current","subIpHeader","mplsLabelStackLength"
94,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","","194","current","subIpHeader","mplsPayloadLength"
95,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","70","current","subIpHeader","mplsTopLabelStackSection"
96,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","71","current","subIpHeader","mplsLabelStackSection2"
97,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","72","current","subIpHeader","mplsLabelStackSection3"
98,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","73","current","subIpHeader","mplsLabelStackSection4"
99,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","74","current","subIpHeader","mplsLabelStackSection5"
